name,volume,latitude,longitude,population,avopop
Albany,16067800,42.65258,-73.756233,"98,251",163.5382846
Atlanta,88605119,33.748997,-84.387985,"486,290",182.2063357
Baltimore,134713919,39.290386,-76.61219,"611,648",220.247461
Boise,14413188,45.488535,-0.599103,"226,570",63.61472393
Boston,97273985,42.360081,-71.058884,"685,094",141.9863333
Buffalo,22962470,42.886448,-78.878372,"258,612",88.79120072
Charlotte,35555544,35.227085,-80.843124,"859,035",41.39009936
Chicago,133702339,41.878113,-87.629799,2716000,49.22766532
Cincinnati,44522008,39.103119,-84.512016,"301,301",147.765882
Columbus,29993361,39.961178,-82.998795,"879,170",34.11554193
Dallas Ft. Worth,208419287,32.776665,-96.796989,"874,168",238.4201744
Denver,138902536,39.739235,-104.99025,"704,621",197.1308491
Detroit,63422419,42.331429,-83.045753,"673,104",94.22380345
Grand Rapids,30211736,42.96336,-85.668083,"198,829",151.9483375
Scranton,41808859,41.40897,-75.662415,"77,605",538.7392436
Hartford,50670537,41.765804,-72.67337,"123,400",410.620235
Houston,203167868,29.760427,-95.369804,2313000,87.83738348
Indianapolis,30263391,39.768402,-86.158066,"872,680",34.67868062
Jacksonville,28790005,30.332184,-81.655647,"892,062",32.27354713
Las Vegas,54376906,36.169941,-115.139832,"641,676",84.74199752
Los Angeles,507896548,34.052235,-118.243683,4000000,126.974137
Louisville,16097002,38.252666,-85.758453,"616,261",26.12042949
Miami,97673224,25.761681,-80.191788,"463,347",210.7993016
Nashville,35612089,36.162663,-86.781601,667560,53.34664899
New Orleans,45695137,29.951065,-90.071533,"393,292",116.1862865
New York,240734128,40.712776,-74.005974,8623000,27.91767691
Orlando,58660704,28.538336,-81.379234,"280,257",209.3103972
Philadelphia,71838798,39.952583,-75.165222,1581000,45.43883491
Phoenix,195643313,33.448376,-112.074036,1626000,120.3218407
Pittsburgh,18806346,40.440624,-79.995888,"302,407",62.18885806
Portland,110552212,45.51223,-122.658722,"647,805",170.6566204
Raleigh,48202732,35.779591,-78.638176,"464,758",103.7157661
Richmond,42230851,37.540726,-77.43605,"227,032",186.0127691
Roanoke,25042011,37.270969,-79.941429,"99,837",250.8289612
Sacramento,75163747,38.581573,-121.4944,"501,901",149.7581137
San Diego,89791920,32.715736,-117.161087,1420000,63.23374648
San Francisco,135830192,37.774929,-122.419418,"884,363",153.5909937
Seattle,109214178,47.606209,-122.332069,"724,745",150.693248
South Carolina,60753773,33.836082,-81.163727,5024000,12.09270959
Spokane,15565275,47.658779,-117.426048,"217,108",71.69369622
St. Louis,32072833,38.627003,-90.199402,"308,626",103.9213579
Syracuse,10942668,43.048122,-76.147423,"143,396",76.31083154
Tampa,66004539,27.950575,-82.457176,"385,430",171.2490958
